ADEP,ADES,period,flight_count,delayed_over_15_count,median_arrival_delay_min,scope_id,route,delay_over_15_pct
EDDB,LFPG,2022-12,241,97,13.3667,all_flights,EDDB → LFPG,40.249
EDDB,LOWW,2022-03,127,14,6.1833,all_flights,EDDB → LOWW,11.0236
EDDB,LOWW,2022-06,186,43,8.4667,all_flights,EDDB → LOWW,23.1183
EDDB,LOWW,2022-09,202,64,11.1,all_flights,EDDB → LOWW,31.6832
EDDB,LOWW,2022-12,169,59,9.2333,all_flights,EDDB → LOWW,34.9112
EDDB,LSZH,2022-03,147,5,-1.4333,all_flights,EDDB → LSZH,3.4014
EDDB,LSZH,2022-06,202,21,1.0583,all_flights,EDDB → LSZH,10.396
EDDB,LSZH,2022-09,218,32,2.125,all_flights,EDDB → LSZH,14.6789
EDDB,LSZH,2022-12,244,32,3.0333,all_flights,EDDB → LSZH,13.1148
EDDF,EBBR,2022-03,167,12,2.5167,all_flights,EDDF → EBBR,7.1856
EDDF,EBBR,2022-06,175,31,4.9833,all_flights,EDDF → EBBR,17.7143
EDDF,EBBR,2022-09,194,19,3.7417,all_flights,EDDF → EBBR,9.7938
EDDF,EBBR,2022-12,147,24,3.75,all_flights,EDDF → EBBR,16.3265
EDDF,EDDB,2022-03,281,28,0.3,all_flights,EDDF → EDDB,9.9644
EDDF,EDDB,2022-06,346,43,4.1917,all_flights,EDDF → EDDB,12.4277
EDDF,EDDB,2022-09,381,48,4.75,all_flights,EDDF → EDDB,12.5984
EDDF,EDDB,2022-12,282,47,4.4583,all_flights,EDDF → EDDB,16.6667
EDDF,EDDH,2022-03,255,9,-3.75,all_flights,EDDF → EDDH,3.5294
EDDF,EDDH,2022-06,304,17,-3.0667,all_flights,EDDF → EDDH,5.5921
EDDF,EDDH,2022-09,320,17,-3.7583,all_flights,EDDF → EDDH,5.3125
EDDF,EDDH,2022-12,266,26,-4.1333,all_flights,EDDF → EDDH,9.7744
EDDF,EDDM,2022-03,272,2,-4.075,all_flights,EDDF → EDDM,0.7353
EDDF,EDDM,2022-06,287,42,4.5,all_flights,EDDF → EDDM,14.6341
EDDF,EDDM,2022-09,318,39,4.225,all_flights,EDDF → EDDM,12.2642
EDDF,EDDM,2022-12,313,44,2.75,all_flights,EDDF → EDDM,14.0575
EDDF,EDDP,2022-03,134,4,-8.8083,all_flights,EDDF → EDDP,2.9851
EDDF,EDDP,2022-06,178,13,-1.8,all_flights,EDDF → EDDP,7.3034
EDDF,EDDP,2022-09,153,6,-4.0,all_flights,EDDF → EDDP,3.9216
