operator_code,period,flight_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,operator_name,operator_country,delay_over_15_pct,scope_id
FDX,2022-06,909,392,12.1,465.9667,FEDERAL EXPRESS CORPORATION,UNITED STATES,43.1243,scheduled_duration_3h_or_more
FDX,2022-09,867,377,13.1833,456.1833,FEDERAL EXPRESS CORPORATION,UNITED STATES,43.4833,scheduled_duration_3h_or_more
FDX,2022-12,913,370,10.6167,467.15,FEDERAL EXPRESS CORPORATION,UNITED STATES,40.5257,scheduled_duration_3h_or_more
FIN,2022-03,1228,205,3.6083,365.1167,FINNAIR OYJ,FINLAND,16.6938,scheduled_duration_3h_or_more
FIN,2022-06,1722,440,6.35,247.2,FINNAIR OYJ,FINLAND,25.5517,scheduled_duration_3h_or_more
FIN,2022-09,1686,305,4.6167,246.1333,FINNAIR OYJ,FINLAND,18.0902,scheduled_duration_3h_or_more
FIN,2022-12,1694,560,9.3333,359.2,FINNAIR OYJ,FINLAND,33.0579,scheduled_duration_3h_or_more
FPY,2022-03,125,18,4.6333,198.65,FLY PLAY,ICELAND,14.4,scheduled_duration_3h_or_more
FPY,2022-06,265,73,7.5,232.1667,FLY PLAY,ICELAND,27.5472,scheduled_duration_3h_or_more
FPY,2022-09,276,43,1.9,228.05,FLY PLAY,ICELAND,15.5797,scheduled_duration_3h_or_more
FPY,2022-12,196,46,5.8583,211.6333,FLY PLAY,ICELAND,23.4694,scheduled_duration_3h_or_more
FWI,2022-03,361,126,10.85,486.0,AIR CARAIBES,FRANCE,34.903,scheduled_duration_3h_or_more
FWI,2022-06,209,92,13.0167,484.6667,AIR CARAIBES,FRANCE,44.0191,scheduled_duration_3h_or_more
FWI,2022-09,177,79,12.7,486.7667,AIR CARAIBES,FRANCE,44.6328,scheduled_duration_3h_or_more
FWI,2022-12,345,184,16.35,498.2833,AIR CARAIBES,FRANCE,53.3333,scheduled_duration_3h_or_more
GEC,2022-03,418,85,2.975,674.5083,"LUFTHANSA CARGO AG, FRANKFURT (MAIN)",GERMANY,20.3349,scheduled_duration_3h_or_more
GEC,2022-06,449,79,2.8167,669.1667,"LUFTHANSA CARGO AG, FRANKFURT (MAIN)",GERMANY,17.5947,scheduled_duration_3h_or_more
GEC,2022-09,434,85,3.75,659.025,"LUFTHANSA CARGO AG, FRANKFURT (MAIN)",GERMANY,19.5853,scheduled_duration_3h_or_more
GEC,2022-12,471,135,4.4,644.6333,"LUFTHANSA CARGO AG, FRANKFURT (MAIN)",GERMANY,28.6624,scheduled_duration_3h_or_more
GFA,2022-03,382,153,10.3083,365.7333,GULF AIR,BAHRAIN,40.0524,scheduled_duration_3h_or_more
GFA,2022-06,516,189,10.3667,364.825,GULF AIR,BAHRAIN,36.6279,scheduled_duration_3h_or_more
GFA,2022-09,540,205,9.4333,362.9167,GULF AIR,BAHRAIN,37.963,scheduled_duration_3h_or_more
GFA,2022-12,592,260,12.0667,359.45,GULF AIR,BAHRAIN,43.9189,scheduled_duration_3h_or_more
GTI,2022-03,282,94,6.6917,513.1833,"ATLAS AIR, INC. (JAMAICA, NY)",UNITED STATES,33.3333,scheduled_duration_3h_or_more
GTI,2022-06,134,56,8.5417,490.1917,"ATLAS AIR, INC. (JAMAICA, NY)",UNITED STATES,41.791,scheduled_duration_3h_or_more
GTI,2022-09,159,48,5.95,502.0,"ATLAS AIR, INC. (JAMAICA, NY)",UNITED STATES,30.1887,scheduled_duration_3h_or_more
GTI,2022-12,195,63,3.2833,516.8,"ATLAS AIR, INC. (JAMAICA, NY)",UNITED STATES,32.3077,scheduled_duration_3h_or_more
HVN,2022-03,117,29,4.3167,720.3833,HANG KHONG VIET NAM,VIET NAM,24.7863,scheduled_duration_3h_or_more
HVN,2022-06,124,80,20.0583,725.6833,HANG KHONG VIET NAM,VIET NAM,64.5161,scheduled_duration_3h_or_more
HVN,2022-09,111,57,15.6167,718.9833,HANG KHONG VIET NAM,VIET NAM,51.3514,scheduled_duration_3h_or_more
HVN,2022-12,237,136,18.2167,738.0667,HANG KHONG VIET NAM,VIET NAM,57.384,scheduled_duration_3h_or_more
IBE,2022-03,1626,195,1.15,579.9083,"IBERIA - LINEAS AEREAS DE ESPANA, SOCIEDAD ANONIMA OPERADORA",SPAIN,11.9926,scheduled_duration_3h_or_more
IBE,2022-06,1999,406,4.7333,547.2167,"IBERIA - LINEAS AEREAS DE ESPANA, SOCIEDAD ANONIMA OPERADORA",SPAIN,20.3102,scheduled_duration_3h_or_more
IBE,2022-09,2057,343,2.8,547.2167,"IBERIA - LINEAS AEREAS DE ESPANA, SOCIEDAD ANONIMA OPERADORA",SPAIN,16.6748,scheduled_duration_3h_or_more
IBE,2022-12,2006,421,4.7333,577.0083,"IBERIA - LINEAS AEREAS DE ESPANA, SOCIEDAD ANONIMA OPERADORA",SPAIN,20.987,scheduled_duration_3h_or_more
ICE,2022-03,421,86,6.4167,197.7333,ICELANDAIR,ICELAND,20.4276,scheduled_duration_3h_or_more
ICE,2022-06,874,303,9.725,196.3667,ICELANDAIR,ICELAND,34.6682,scheduled_duration_3h_or_more
ICE,2022-09,794,216,8.2667,199.1667,ICELANDAIR,ICELAND,27.204,scheduled_duration_3h_or_more
ICE,2022-12,575,223,11.5667,197.4833,ICELANDAIR,ICELAND,38.7826,scheduled_duration_3h_or_more
IRA,2022-03,164,54,10.075,271.6583,IRAN NATIONAL AIRLINES CORP. (IRAN AIR),IRAN (ISLAMIC REPUBLIC OF),32.9268,scheduled_duration_3h_or_more
IRA,2022-06,118,55,13.6,315.1083,IRAN NATIONAL AIRLINES CORP. (IRAN AIR),IRAN (ISLAMIC REPUBLIC OF),46.6102,scheduled_duration_3h_or_more
IRA,2022-09,199,61,7.3,272.6333,IRAN NATIONAL AIRLINES CORP. (IRAN AIR),IRAN (ISLAMIC REPUBLIC OF),30.6533,scheduled_duration_3h_or_more
IRA,2022-12,123,51,11.75,309.8,IRAN NATIONAL AIRLINES CORP. (IRAN AIR),IRAN (ISLAMIC REPUBLIC OF),41.4634,scheduled_duration_3h_or_more
IRM,2022-03,133,11,-10.8833,201.9333,MAHAN AIR,IRAN (ISLAMIC REPUBLIC OF),8.2707,scheduled_duration_3h_or_more
IRM,2022-06,148,16,-7.9333,204.5,MAHAN AIR,IRAN (ISLAMIC REPUBLIC OF),10.8108,scheduled_duration_3h_or_more
IRM,2022-09,182,37,-2.8333,200.9417,MAHAN AIR,IRAN (ISLAMIC REPUBLIC OF),20.3297,scheduled_duration_3h_or_more
IRM,2022-12,197,28,-12.95,204.1167,MAHAN AIR,IRAN (ISLAMIC REPUBLIC OF),14.2132,scheduled_duration_3h_or_more
JAL,2022-03,125,19,4.7,887.5833,"JAPAN AIRLINES CO., LTD",JAPAN,15.2,scheduled_duration_3h_or_more
JAL,2022-06,180,62,7.6583,839.5333,"JAPAN AIRLINES CO., LTD",JAPAN,34.4444,scheduled_duration_3h_or_more
JAL,2022-09,246,51,0.4667,824.925,"JAPAN AIRLINES CO., LTD",JAPAN,20.7317,scheduled_duration_3h_or_more
JAL,2022-12,268,61,4.45,821.0583,"JAPAN AIRLINES CO., LTD",JAPAN,22.7612,scheduled_duration_3h_or_more
JBU,2022-03,125,21,-3.0167,433.5667,"JETBLUE AIRWAYS CORPORATION (NEW YORK, NY)",UNITED STATES,16.8,scheduled_duration_3h_or_more
JBU,2022-06,120,39,7.2333,434.1917,"JETBLUE AIRWAYS CORPORATION (NEW YORK, NY)",UNITED STATES,32.5,scheduled_duration_3h_or_more
JBU,2022-09,193,43,3.0,427.85,"JETBLUE AIRWAYS CORPORATION (NEW YORK, NY)",UNITED STATES,22.2798,scheduled_duration_3h_or_more
JBU,2022-12,305,34,-0.8,437.0667,"JETBLUE AIRWAYS CORPORATION (NEW YORK, NY)",UNITED STATES,11.1475,scheduled_duration_3h_or_more
JZR,2022-03,112,41,8.925,211.5417,JAZEERA AIRWAYS,KUWAIT,36.6071,scheduled_duration_3h_or_more
JZR,2022-06,232,81,9.7833,202.15,JAZEERA AIRWAYS,KUWAIT,34.9138,scheduled_duration_3h_or_more
JZR,2022-09,242,100,11.3167,204.55,JAZEERA AIRWAYS,KUWAIT,41.3223,scheduled_duration_3h_or_more
JZR,2022-12,121,36,5.9333,208.6667,JAZEERA AIRWAYS,KUWAIT,29.7521,scheduled_duration_3h_or_more
KAC,2022-03,346,80,4.3167,276.5167,KUWAIT AIRWAYS CORPORATION,KUWAIT,23.1214,scheduled_duration_3h_or_more
KAC,2022-06,637,219,9.1167,315.5833,KUWAIT AIRWAYS CORPORATION,KUWAIT,34.3799,scheduled_duration_3h_or_more
KAC,2022-09,644,197,7.0083,324.5917,KUWAIT AIRWAYS CORPORATION,KUWAIT,30.5901,scheduled_duration_3h_or_more
KAC,2022-12,623,217,9.2,337.8833,KUWAIT AIRWAYS CORPORATION,KUWAIT,34.8315,scheduled_duration_3h_or_more
KAL,2022-03,278,81,7.075,681.825,"KOREAN AIR LINES CO., LTD.",REPUBLIC OF KOREA,29.1367,scheduled_duration_3h_or_more
KAL,2022-06,290,156,16.3,718.8,"KOREAN AIR LINES CO., LTD.",REPUBLIC OF KOREA,53.7931,scheduled_duration_3h_or_more
KAL,2022-09,480,220,13.3917,706.1667,"KOREAN AIR LINES CO., LTD.",REPUBLIC OF KOREA,45.8333,scheduled_duration_3h_or_more
KAL,2022-12,512,228,13.2833,724.4667,"KOREAN AIR LINES CO., LTD.",REPUBLIC OF KOREA,44.5312,scheduled_duration_3h_or_more
KLM,2022-03,2434,726,8.65,530.05,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,29.8274,scheduled_duration_3h_or_more
KLM,2022-06,2821,1369,14.5,516.6,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,48.5289,scheduled_duration_3h_or_more
KLM,2022-09,2902,1185,11.725,517.075,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,40.8339,scheduled_duration_3h_or_more
KLM,2022-12,2731,1108,11.9167,540.45,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,40.5712,scheduled_duration_3h_or_more
KNE,2022-03,64,25,3.2333,231.5417,FLYNAS COMPANY CLOSED JOINT STOCK COMPANY,SAUDI ARABIA,39.0625,scheduled_duration_3h_or_more
KNE,2022-06,486,119,0.4333,223.35,FLYNAS COMPANY CLOSED JOINT STOCK COMPANY,SAUDI ARABIA,24.4856,scheduled_duration_3h_or_more
KNE,2022-09,637,140,-1.8333,215.9667,FLYNAS COMPANY CLOSED JOINT STOCK COMPANY,SAUDI ARABIA,21.978,scheduled_duration_3h_or_more
KNE,2022-12,356,136,9.875,243.975,FLYNAS COMPANY CLOSED JOINT STOCK COMPANY,SAUDI ARABIA,38.2022,scheduled_duration_3h_or_more
KQA,2022-03,170,67,11.925,500.1667,KENYA AIRWAYS LTD.,KENYA,39.4118,scheduled_duration_3h_or_more
KQA,2022-06,200,118,17.9083,499.0667,KENYA AIRWAYS LTD.,KENYA,59.0,scheduled_duration_3h_or_more
KQA,2022-09,188,102,16.9083,489.65,KENYA AIRWAYS LTD.,KENYA,54.2553,scheduled_duration_3h_or_more
KQA,2022-12,246,164,23.7167,511.1,KENYA AIRWAYS LTD.,KENYA,66.6667,scheduled_duration_3h_or_more
KZR,2022-03,339,118,9.1833,317.7167,AIR ASTANA,KAZAKHSTAN,34.8083,scheduled_duration_3h_or_more
KZR,2022-06,848,216,6.725,308.0917,AIR ASTANA,KAZAKHSTAN,25.4717,scheduled_duration_3h_or_more
KZR,2022-09,701,123,3.3,310.4,AIR ASTANA,KAZAKHSTAN,17.5464,scheduled_duration_3h_or_more
KZR,2022-12,449,131,6.15,321.2,AIR ASTANA,KAZAKHSTAN,29.1759,scheduled_duration_3h_or_more
