operator_code,flight_count,periods_active,route_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,delay_over_15_pct,scope_id,scope_label,operator_name,operator_country,executive_eligible
SVA,319,4,14,154,14.4,160.05,48.2759,scheduled_duration_under_3h,Under 3 hours,SAUDI ARABIAN AIRLINES,SAUDI ARABIA,False
SVR,1241,4,12,609,14.5,137.8833,49.0733,scheduled_duration_under_3h,Under 3 hours,URAL AIRLINES,RUSSIAN FEDERATION,True
SWN,1914,4,83,213,-2.9583,82.2833,11.1285,scheduled_duration_under_3h,Under 3 hours,WEST ATLANTIC SWEDEN AB,SWEDEN,True
SWR,30820,4,224,4544,2.4167,89.4333,14.7437,scheduled_duration_under_3h,Under 3 hours,SWISS INTERNATIONAL AIR LINES LTD,SWITZERLAND,True
SWT,3104,4,129,184,-6.7667,59.9417,5.9278,scheduled_duration_under_3h,Under 3 hours,SWIFTAIR S.A.,SPAIN,True
SXS,9409,4,217,2187,4.9667,115.4333,23.2437,scheduled_duration_under_3h,Under 3 hours,GUNES EKSPRES HAVACILIK A.S. (SUNEXPRESS),TURKEY,True
SYL,24,4,2,7,11.5,135.9167,29.1667,scheduled_duration_under_3h,Under 3 hours,"AIRCOMPANY YAKUTIA, JOINT-STOCK COMPANY",RUSSIAN FEDERATION,False
TAP,25396,4,142,7595,7.55,126.9167,29.9063,scheduled_duration_under_3h,Under 3 hours,"TRANSPORTES AEREOS PORTUGUESES, E.P.",PORTUGAL,True
TAR,4893,4,106,1321,7.3833,118.6167,26.9978,scheduled_duration_under_3h,Under 3 hours,TUNIS AIR - SOCIETE TUNISIENNE DE L'AIR,TUNISIA,True
TDR,205,3,13,16,-7.5667,57.6667,7.8049,scheduled_duration_under_3h,Under 3 hours,TRADE AIR,CROATIA,False
TGW,55,2,2,10,8.3,150.3333,18.1818,scheduled_duration_under_3h,Under 3 hours,SCOOT PTE. LTD.,SINGAPORE,False
TGZ,212,4,5,10,-5.7917,154.4083,4.717,scheduled_duration_under_3h,Under 3 hours,GEORGIAN AIRWAYS,GEORGIA,False
THY,92481,4,648,15315,2.6333,91.6167,16.5602,scheduled_duration_under_3h,Under 3 hours,TURK HAVA YOLLARI (TURKISH AIRLINES CO.),TURKEY,True
TJT,1711,4,31,183,1.05,66.6833,10.6955,scheduled_duration_under_3h,Under 3 hours,TWIN JET,FRANCE,True
TRA,11949,4,246,2241,4.2667,140.1167,18.7547,scheduled_duration_under_3h,Under 3 hours,TRANSAVIA HOLLAND B.V.,NETHERLANDS,True
TVF,20185,4,456,4685,6.35,117.9167,23.2103,scheduled_duration_under_3h,Under 3 hours,TRANSAVIA FRANCE,FRANCE,True
TWI,98,3,11,25,9.175,137.0,25.5102,scheduled_duration_under_3h,Under 3 hours,TAILWIND HAVAYOLLARI A.S.,TURKEY,False
UAE,437,4,30,110,6.6333,146.1,25.1716,scheduled_duration_under_3h,Under 3 hours,EMIRATES,UNITED ARAB EMIRATES,False
UPS,3582,4,54,512,-1.825,75.325,14.2937,scheduled_duration_under_3h,Under 3 hours,"UNITED PARCEL SERVICE COMPANY, (LOUISVILLE, KY)",UNITED STATES,True
